eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
2041;1500;Other;False;4;0;0;2015-12-01
2039;0;Other;False;4;0;0;2015-11-28
2037;1589;Other;False;4;0;0;2015-11-28
1615;100000;Intl. LAN;False;8;250000;250000;2015-11-28
2035;0;Other;False;8;0;0;2015-11-27
2031;0;Other;False;5;0;0;2015-11-26
2030;0;Other;False;4;0;0;2015-11-24
2016;0;Other;False;8;0;0;2015-11-24
2029;0;Other;False;2;0;0;2015-11-22
2026;0;Other;False;4;0;0;2015-11-22
1865;56250;Other;False;16;100000;100000;2015-11-22
2023;3714;Other;False;16;0;0;2015-11-22
2028;3798;Other;False;2;0;0;2015-11-21
2021;0;Other;False;8;0;0;2015-11-21
1995;0;Other;False;9;0;0;2015-11-21
2025;0;Online;False;8;0;0;2015-11-20
1952;1768;Online;False;10;2800;2800;2015-09-29
1881;14260;Online;False;12;25000;25000;2015-08-10
1968;15000;Intl. LAN;False;16;30000;30000;2015-11-18
2017;0;Other;False;4;0;0;2015-11-17
1934;244789;Online;False;24;500000;500000;2015-11-17
2018;0;Other;False;2;0;0;2015-11-16
2015;0;Other;False;4;0;0;2015-11-15
1960;65000;Reg. LAN;False;8;100000;100000;2015-11-15
2011;0;Other;False;6;0;0;2015-11-15
2003;0;Other;False;20;0;0;2015-11-15
1937;100877;Online;False;20;250000;250000;2015-11-15
2012;0;Other;False;2;0;0;2015-11-12
2010;0;Other;False;4;0;0;2015-11-12
2006;0;Other;False;9;0;0;2015-11-11
2007;0;Other;False;4;0;0;2015-11-10
1951;1515;Online;False;8;2800;2800;2015-09-28
2005;0;Other;False;2;0;0;2015-11-08
2002;0;Other;False;6;0;0;2015-11-08
1853;40000;Intl. LAN;False;8;150000;150000;2015-11-08
2004;1985;Other;False;2;0;0;2015-11-07
2038;0;Other;;8;0;0;2015-11-06
2001;0;Other;False;8;0;0;2015-11-06
2000;0;Other;False;4;0;0;2015-11-05
1928;27698;Online;False;16;59000;59000;2015-11-05
1998;0;Other;False;4;0;0;2015-11-03
1863;0;Other;False;8;0;0;2015-11-01
1994;5000;Other;False;8;0;0;2015-11-01
1617;100000;Major;False;16;250000;250000;2015-11-01
1996;5000;Local LAN;False;4;0;0;2015-10-31
1993;0;Other;False;4;0;0;2015-10-29
1961;315;Online;False;8;500;500;2015-10-03
1992;1500;Online;False;4;0;0;2015-10-26
1991;1138;Other;False;4;0;0;2015-10-25
1990;0;Online;False;8;0;0;2015-10-25
1988;3829;Other;False;4;0;0;2015-10-25
1989;1135;Other;False;4;0;0;2015-10-25
1987;0;Online;False;4;0;0;2015-10-25
1985;0;Online;False;12;0;0;2015-10-25
1976;0;Online;False;22;0;0;2015-10-25
1973;0;Online;False;4;0;0;2015-10-23
1898;3515;Online;False;11;11238;11238;2015-08-25
1984;0;Online;False;8;0;0;2015-10-22
1975;1146;Online;False;8;1700;1700;2015-10-12
1983;0;Local LAN;False;28;0;0;2015-10-20
1982;7000;Local LAN;False;14;10000;10000;2015-10-18
1981;0;Online;False;6;0;0;2015-10-17
1980;0;Online;False;2;0;0;2015-10-16
1957;1571;Online;False;6;2800;2800;2015-10-01
1943;10053;Online;False;8;20000;20000;2015-10-14
1974;0;Intl. LAN;False;16;0;0;2015-10-13
1694;50000;Intl. LAN;False;16;100000;100000;2015-10-11
1972;3805;Online;False;6;0;0;2015-10-10
1949;25600;Intl. LAN;False;4;39000;39000;2015-10-10
1971;0;Other;False;2;0;0;2015-10-09
1969;0;Online;False;8;0;0;2015-10-09
1956;1521;Online;False;6;2500;2500;2015-10-01
1967;1250;Online;False;4;2000;2000;2015-10-06
1923;1560;Online;False;16;3000;3000;2015-10-05
1966;0;Intl. LAN;False;4;0;0;2015-10-04
1965;0;Other;False;2;0;0;2015-10-04
1964;3924;Other;False;4;0;0;2015-10-04
1963;364;Other;False;4;0;0;2015-10-04
1886;40000;Intl. LAN;False;4;85000;85000;2015-10-04
1962;0;Local LAN;False;4;0;0;2015-10-03
1953;3962;Local LAN;False;4;7350;7350;2015-10-03
1955;1442;Online;False;8;2500;2500;2015-10-02
1871;49943;Online;False;44;100000;100000;2015-08-10
1929;0;Online;False;16;0;0;2015-09-30
1921;3000;Intl. LAN;False;6;10000;10000;2015-09-30
3861;100000;Online;False;8;0;250000;2018-07-06
3862;500;Online;False;4;750;750;2018-07-10
3874;800;Local LAN;False;4;1500;1500;2018-07-01
3845;100000;Online;False;8;0;250000;2018-07-01
3840;1120;Intl. LAN;False;4;2260;2260;2018-07-01
3606;10000;Reg. LAN;False;6;20000;20000;2018-07-01
3860;100000;Online;False;8;0;250000;2018-07-12
3842;100000;Online;False;8;0;250000;2018-07-29
3603;200000;Intl. LAN;False;8;300000;300000;2018-08-26
3872;3500;Local LAN;False;4;12250;12250;2018-07-01
3846;100000;Online;False;8;0;250000;2018-07-01
3732;70000;Online;False;16;0;1000000;2018-07-01
3761;70000;Intl. LAN;False;8;50000;1000000;2018-07-22
3793;70000;Online;False;16;0;1000000;2018-06-17
3869;800;Local LAN;False;2;1200;1200;2018-06-30
3855;8800;Local LAN;False;4;15200;15200;2018-06-30
3870;3500;Local LAN;False;2;5000;5000;2018-06-29
3868;100000;Online;False;6;0;250000;2018-06-28
3389;100000;Intl. LAN;False;16;250000;250000;2018-09-02
3867;100000;Online;False;16;0;250000;2018-06-26
3865;100000;Online;False;8;0;250000;2018-06-28
3864;100000;Online;False;16;0;250000;2018-06-26
3836;125000;Online;False;6;0;250000;2018-06-27
3833;125000;Intl. LAN;False;8;250000;250000;2018-08-06
3849;125000;Online;False;8;0;250000;2018-06-24
3866;7000;Reg. LAN;False;2;10000;10000;2018-06-26
3736;7000;Online;False;8;0;10000;2018-06-20
3831;103986;Online;False;6;0;250000;2018-06-26
3703;103986;Intl. LAN;False;8;250000;250000;2018-09-30
3830;103986;Online;False;8;0;250000;2018-06-21
3829;103986;Online;False;6;0;250000;2018-06-26
3828;103986;Online;False;8;0;250000;2018-06-24
3852;4063;Local LAN;False;4;7547;7547;2018-06-24
3776;29000;Intl. LAN;False;4;52250;52250;2018-06-24
3815;7400;Local LAN;False;4;14900;14900;2018-06-24
3863;1500;Online;False;4;2000;2000;2018-06-24
3605;200000;Reg. LAN;False;8;20000;300000;2018-06-24
3730;70000;Online;False;16;0;1000000;2018-06-24
3758;70000;Intl. LAN;False;8;50000;1000000;2018-07-11
3854;70000;Online;False;8;0;1000000;2018-06-17
3820;800;Online;False;8;1350;1350;2018-06-25
3859;12328;Local LAN;False;4;20100;20100;2018-06-23
3856;2240;Local LAN;False;4;3585;3585;2018-06-23
3851;0;Local LAN;False;4;58100;58100;2018-06-23
3850;2906;Local LAN;False;4;5812;5812;2018-06-16
3835;125000;Online;False;6;0;250000;2018-06-23
3848;125000;Online;False;4;0;250000;2018-06-17
3844;100000;Online;False;8;0;250000;2018-06-21
3834;125000;Online;False;6;0;250000;2018-06-20
3847;125000;Online;False;4;0;250000;2018-06-17
3843;100000;Online;False;8;0;250000;2018-06-19
3681;3500;Online;False;8;5000;5000;2018-06-19
3427;50000;Intl. LAN;False;8;100000;100000;2018-06-18
3714;150000;Intl. LAN;False;8;300000;300000;2018-06-18
3853;406;Local LAN;False;4;870;870;2018-06-17
3810;13750;Intl. LAN;False;12;27550;27550;2018-06-17
3493;6080;Reg. LAN;False;8;15200;15200;2018-06-17
3649;100000;Intl. LAN;False;8;200000;200000;2018-06-17
1040;0;Local LAN;False;4;0;0;2018-06-17
3822;330;Online;False;3;395;395;2018-06-18
3876;1500;Online;False;8;3000;3000;2018-08-01
3473;9350;Intl. LAN;False;32;15600;15600;2018-09-09
3480;5560;Online;False;8;0;11120;2018-07-10
3760;70000;Intl. LAN;False;8;50000;1000000;2018-07-20
